PRODUCTID,TYPECODE,PRODCATEGORYID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,SUPPLIER_PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE,WIDTH,DEPTH,HEIGHT,DIMENSIONUNIT,PRODUCTPICURL,PARTNERROLE,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID,COMPANYNAME,LEGALFORM,CREATEDBY_1,CREATEDAT_1,CHANGEDBY_1,CHANGEDAT_1,CURRENCY_1
CC-1022,PR,CC,0000000013,20181003,0000000013,20181003,0100000010,1,EA,8.0,KG,USD,1200,,,,,,1,jorgemontalban@avantegrande.co.uk,6789012345,,http://www.avantegrande.co.uk,1000000044,Avante Grande Bikes,Ltd.,0000000010,20181003,0000000010,20181003,GBP
CC-1023,PR,CC,0000000012,20181003,0000000012,20181003,0100000011,1,EA,8.6,KG,USD,1361,,,,,,2,johanna.esther@bikeon.co.uk,6623612804,,http://www.bikeon.co.uk,1000000045,Bike On,Ltd.,0000000013,20181003,0000000013,20181003,GBP
MB-1031,PR,MB,0000000012,20181003,0000000012,20181003,0100000012,1,EA,12.7,KG,USD,649,,,,,,1,miguel.luengo@carefreecycles.com,2589436180,,http://www.carefreecycles.com,1000000046,Carefree Cycles,Ltd.,0000000001,20181003,0000000001,20181003,GBP
MB-1032,PR,MB,0000000002,20181003,0000000002,20181003,0100000013,1,EA,12.0,KG,USD,1299,,,,,,1,isabel.nemours@gnmbikes.co.uk,4507867136,,http://www.gnmbikes.co.uk/,1000000047,G&M Bicycle,Ltd.,0000000008,20181003,0000000008,20181003,GBP
MB-1033,PR,MB,0000000007,20181003,0000000007,20181003,0100000014,1,EA,13.1,KG,USD,3999,,,,,,2,igor.tarassow@keepcycling-london.co.uk,5850428367,,http://www.keepcycling-london.co.uk,1000000048,Keep Cycling,Ltd.,0000000006,20181003,0000000006,20181003,GBP
MB-1034,PR,MB,0000000011,20181003,0000000011,20181003,0100000015,1,EA,12.5,KG,USD,2499,,,,,,2,alexis.harper@icareaussie.com.au,7609448173,,http://www.icareaussie.com.au,1000000049,iCare Australia,Inc.,0000000014,20181003,0000000014,20181003,AUD
RC-1051,PR,RC,0000000001,20181003,0000000001,20181003,0100000016,1,EA,7.1,KG,USD,2499,,,,,,2,c.alfaro@ccsport.com.au,6879342945,,http://www.ccsport.com.au,1000000050,CC SportWorld,Inc.,0000000008,20181003,0000000008,20181003,AUD
RC-1052,PR,RC,0000000005,20181003,0000000005,20181003,0100000017,1,EA,7.5,KG,USD,3999,,,,,,2,sven.j@digipay.com.au,2208791738,,http://www.digipay.com.au,1000000051,DigiPay,Inc.,0000000005,20181003,0000000005,20181003,AUD
RC-1053,PR,RC,0000000003,20181003,0000000003,20181003,0100000018,1,EA,6.9,KG,USD,4599,,,,,,1,yoshiko.kakuji@techcyclecanberra.com.au,4440238917,,http://www.techcyclecanberra.com.au,1000000052,TechCycle Canberra,Inc.,0000000008,20181003,0000000008,20181003,AUD
RC-1054,PR,RC,0000000014,20181003,0000000014,20181003,0100000019,1,EA,7.0,KG,USD,5499,,,,,,2,alessio.galasso@ebike100.com,6328490087,,http://www.ebike100.com,1000000053,eBike 100,Inc.,0000000006,20181003,0000000006,20181003,AUD
RC-1055,PR,RC,0000000002,20181003,0000000002,20181003,0100000020,1,EA,7.2,KG,USD,1999,,,,,,1,sujaymishra@cycleworld.co.in,4050378468,,http://www.cycleworld.co.in,1000000054,Cycle World,Ltd.,0000000012,20181003,0000000012,20181003,INR
RC-1056,PR,RC,0000000013,20181003,0000000013,20181003,0100000021,1,EA,7.8,KG,USD,2499,,,,,,1,madhu.kumar@hitechsport.com,6065470312,,http://www.hitechsport.com,1000000055,High Tech Sports Inc,Ltd.,0000000008,20181003,0000000008,20181003,INR
RC-1057,PR,RC,0000000012,20181003,0000000012,20181003,0100000022,1,EA,7.3,KG,USD,4999,,,,,,1,pooja.singh@tiresonfire.co.in,7980023486,,http://www.tiresonfire.co.in,1000000056,Tires On Fire,Ltd.,0000000003,20181003,0000000003,20181003,INR
DB-1081,PR,DB,0000000010,20181003,0000000010,20181003,0100000023,1,EA,13.6,KG,USD,1499,,,,,,2,ajaz.khan@mxbyk.com,3629731486,,http://www.mxbyk.com,1000000057,MX Bike,Ltd.,0000000008,20181003,0000000008,20181003,INR
DB-1082,PR,DB,0000000004,20181003,0000000004,20181003,0100000024,1,EA,14.3,KG,USD,1250,,,,,,1,aditya.rajput@fitnessworld.co.in,3206580974,,http://www.fitnessworld.co.in,1000000058,FitnessWorld,Ltd.,0000000001,20181003,0000000001,20181003,INR
DB-1083,PR,DB,0000000006,20181003,0000000006,20181003,0100000025,1,EA,15.4,KG,USD,1199,,,,,,1,mudassir.k@homerundubai.com,4580963184,,http://www.homerundubai.com,1000000059,Homerun Millwork Inc.,Inc.,0000000005,20181003,0000000005,20181003,AED
EB-1131,PR,EB,0000000014,20181003,0000000014,20181003,0100000026,1,EA,18.1,KG,USD,1500,,,,,,1,rehanshehzad@antoniobikes.com,1012697341,,http://www.antoniobikes.com,1000000060,Antonio Bandolera,Inc.,0000000004,20181003,0000000004,20181003,AED
EB-1132,PR,EB,0000000014,20181003,0000000014,20181003,0100000027,1,EA,18.8,KG,USD,1900,,,,,,1,sarfaraz.khan@khancycles.ae,7345697824,,http://www.khancycles.ae,1000000061,Khan Cycles,Inc.,0000000006,20181003,0000000006,20181003,AED
EB-1133,PR,EB,0000000005,20181003,0000000005,20181003,0100000028,1,EA,21.0,KG,USD,2250,,,,,,1,alam.sheikh@palmbeachbikes.ae,469614115,,http://www.palmbeachbikes.ae,1000000062,Palm Beach Bike World,Inc.,0000000007,20181003,0000000007,20181003,AED
EB-1134,PR,EB,0000000004,20181003,0000000004,20181003,0100000029,1,EA,20.1,KG,USD,4800,,,,,,1,bhushan.shetty@a2zfitnes.com,6839542781,,http://www.a2zfitnes.com,1000000063,A to Z Fitness,Inc.,0000000009,20181003,0000000009,20181003,AED
EB-1135,PR,EB,0000000012,20181003,0000000012,20181003,0100000030,1,EA,19.3,KG,USD,3000,,,,,,1,romain.le_mason@hudsonsport.ca,6714954542,,http://www.hudsonsport.ca,1000000064,Hudson SportsTec,Ltd.,0000000010,20181003,0000000010,20181003,CAD
EB-1136,PR,EB,0000000007,20181003,0000000007,20181003,0100000031,1,EA,20.5,KG,USD,5000,,,,,,2,anthony.lebouef@ebike36.ca,2483693027,,http://www.ebike36.ca,1000000065,Ebike 36,Ltd.,0000000003,20181003,0000000003,20181003,CAD
EB-1137,PR,EB,0000000006,20181003,0000000006,20181003,0100000032,1,EA,22.0,KG,USD,7900,,,,,,2,lisa.felske@wichitasport.com,2094573421,,http://www.wichitasport.com,1000000066,Wichita Sport,Ltd.,0000000001,20181003,0000000001,20181003,CAD
CB-1161,PR,CB,0000000006,20181003,0000000006,20181003,0100000033,1,EA,15.0,KG,USD,399,,,,,,1,jonathan.d.mason@movebybike.ca,4136278910,,http://www.movebybike.ca,1000000067,Move by Bike,Ltd.,0000000001,20181003,0000000001,20181003,CAD
CB-1162,PR,CB,0000000009,20181003,0000000009,20181003,0100000034,1,EA,18.0,KG,USD,400,,,,,,2,amelie.troyat@techcycletoronto.ca,3540671320,,http://www.techcycletoronto.ca,1000000068,TechCycle,Ltd.,0000000004,20181003,0000000004,20181003,CAD
CB-1163,PR,CB,0000000014,20181003,0000000014,20181003,0100000035,1,EA,16.0,KG,USD,288,,,,,,2,sophie.ribery@yourcycleshop.fr,7315064077,,http://www.yourcycleshop.fr,1000000069,YourCycleShop,S.A.R.L.,0000000007,20181003,0000000007,20181003,EUR
HB-1171,PR,HB,0000000001,20181003,0000000001,20181003,0100000036,1,EA,11.0,KG,USD,699,,,,,,1,jorge.velez@unolabmanufacturing.com,4381762683,,http://www.unolabmanufacturing.com,1000000070,Unolab Manufacturing,S.A.R.L.,0000000013,20181003,0000000013,20181003,EUR
HB-1172,PR,HB,0000000001,20181003,0000000001,20181003,0100000037,1,EA,12.1,KG,USD,799,,,,,,2,joseph_gschwandtner@ebike201.fr,9703586412,,http://www.ebike201.fr,1000000071,E bike 201,S.A.R.L.,0000000004,20181003,0000000004,20181003,EUR
HB-1173,PR,HB,0000000003,20181003,0000000003,20181003,0100000038,1,EA,13.5,KG,USD,649,,,,,,2,george_d_grant@thecyclefactor.fr,6843585642,,http://www.thecyclefactor.fr,1000000072,The Cycle Factor,S.A.R.L.,0000000003,20181003,0000000003,20181003,EUR
HB-1174,PR,HB,0000000003,20181003,0000000003,20181003,0100000039,1,EA,11.8,KG,USD,379,,,,,,1,theodor.monathy@eiffelbikes.fr,4203876954,,http://www.eiffelbikes.fr,1000000073,Eiffel Bikes,S.A.R.L.,0000000009,20181003,0000000009,20181003,EUR
HB-1175,PR,HB,0000000007,20181003,0000000007,20181003,0100000040,1,EA,12.5,KG,USD,899,,,,,,,,,,,,,,,,,,
HB-1176,PR,HB,0000000005,20181003,0000000005,20181003,0100000041,1,EA,12.9,KG,USD,1199,,,,,,,,,,,,,,,,,,
